kpi_id,stage,weight,ruleset_text
S1-[GO]-01,A-1,x3,"A1_W: x3
1. 아이디어 내부 논의 (0점), 
2. 문제/고객 가설 문서화 (50점),
3. 정성 검증 (잠재고객 20명+ 인터뷰) (75점),
4. 지불증거/사전가입 확보 (100점)"
S1-[GO]-02,A-1,x2,"A1_W: x2
1. 검증 활동 없음 (0점),
2. Top-down 리포트 인용 (25점) ,
3. 페르소나 정의 및 Bottom-up 규모 추정 (75점),
4. 랜딩페이지/광고 실험으로 초기 반응 확인 (100점)"
S1-[GO]-02,A-2,x2,"A2_W: x2
1. Top-down 리포트 인용 (0점),
2. Bottom-up 규모 추정 (50점),
3. 랜딩페이지/광고 실험으로 유의미한 데이터 확보 (75점),
4. LOI/사전계약 (3곳 이상) 확보 (100점)"
S1-[GO]-03,A-1,x2,"A1_W: x2
1. 계획 없음 (0점),
2. 초기 비용/조달 계획 수립 (50점),
3. 월 단위 현금흐름 트래킹 (100점)"
S1-[GO]-03,A-2,x2,"A2_W: x2
1. 계획만 수립 (0점),
2. 월 단위 현금흐름 트래킹 (50점),
3. 런웨이 6개월 이상 확보 (75점),
4. 런웨이 12개월 이상 확보 (100점)"
S1-[GO]-04,A-2,x2,"A2_W: x2
0점: 100명 미만
100점: 1,000명 이상"
S1-[GO]-04,A-3,x1,"A3_W: x1
0점: 1,000명 미만
100점: 10,000명 이상"
S1-[GO]-04,A-4,x1,"A4_W: x1
0점: 10,000명 미만
100점: 100,000명 이상"
S1-[GO]-05,A-2,x2,"A2_W: x2
0점: 50명 미만
100점: 500명 이상"
S1-[GO]-05,A-3,x2,"A3_W: x2
0점: 500명 미만
100점: 5,000명 이상"
S1-[GO]-05,A-4,x2,"A4_W: x2
0점: 5,000명 미만
100점: 50,000명 이상"
S1-[GO]-05,A-5,x1,"A5_W: x1
0점: 50,000명 미만
100점: 500,000명 이상"
S1-[GO]-06,A-2,x2,"A2_W: x2
0점: 1% 미만
100점: 5% 이상"
S1-[GO]-06,A-3,x2,"A3_W: x2
0점: 2% 미만
100점: 8% 이상"
S1-[GO]-06,A-4,x1,"A4_W: x1
0점: 3% 미만
100점: 10% 이상"
S1-[GO]-07,A-2,x2,"A2_W: x2
0점: 10% 미만
100점: 40% 이상"
S1-[GO]-07,A-3,x2,"A3_W: x2
0점: 15% 미만
100점: 50% 이상"
S1-[GO]-07,A-4,x2,"A4_W: x2
0점: 20% 미만
100점: 50% 이상"
S1-[GO]-07,A-5,x1,"A5_W: x1
0점: 20% 미만
100점: 40% 이상"
S1-[GO]-08,A-2,x2,"A2_W: x2
1. 10% 미만 (0점)
2. 10% ~ 20% (50점)
3. 20% 이상 (100점)"
S1-[GO]-08,A-3,x3,"A3_W: x3
2. 15% ~ 30% (50점),
3. 30% 이상 (100점)"
S1-[GO]-08,A-4,x2,"A4_W: x2
1. 20% 미만 (0점),
2. 20% ~ 40% (50점),
3. 40% 이상 (100점)"
S1-[GO]-09,A-3,x2,"A3_W: x2
0점: 5% 미만
100점: 25% 이상"
S1-[GO]-09,A-4,x2,"A4_W: x2
0점: 10% 미만
100점: 35% 이상"
S1-[GO]-09,A-5,x2,"A5_W: x2
0점: 15% 미만
100점: 40% 이상"
